pdbid,2019_general,2019_refined,2019_core,2018_general,2018_refined,2018_core,2017_general,2017_refined,2017_core,2016_general,2016_refined,2016_core,2015_general,2015_refined,2015_core,2014_general,2014_refined,2014_core,2013_general,2013_refined,2013_core,2012_general,2012_refined,2012_core,2007_general,2007_refined,2007_core,act,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
10gs,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,6.4,130.54,1525.9,6.0188,35.406,6.5628,12,2982,728,1049,41,420,106,163,8,775,184,293,14,0,0,0,0,0,0,0,0,151,39,57,3,0,0,0,0,0,0,0,0,0,0,0,0
11gs,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,True,False,5.82,150.66,1752.2,11.046,36.528,7.4662,15,3182,810,1098,45,427,112,158,9,1223,294,433,16,0,0,0,0,0,0,0,0,166,39,59,3,286,71,85,2,0,0,0,0,0,0,0,0
184l,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,4.72,45.893,721.11,0.55265,73.155,0,2,2042,469,498,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185l,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,3.54,46.667,687.36,0.97171,51.442,0,0,1553,348,362,16,190,42,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186l,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,4.85,47.782,764.4,1.2644,74.019,0,3,2068,475,529,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187l,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,3.37,28.064,622.46,0.86467,55.775,0,0,1581,356,376,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188l,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,3.33,31.122,607.48,0.37027,53.365,0,0,1555,345,354,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a08,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,True,True,5.62,95.795,1345.2,5.0905,32.679,5.4494,18,2146,648,745,37,226,73,77,5,691,223,255,13,224,70,79,2,107,37,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a0q,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,True,False,7.57,93.969,1169.1,3.7839,62.445,3.6554,9,2462,618,521,9,152,44,32,0,849,228,183,0,0,0,0,0,178,49,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a1b,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,True,True,6.4,94.499,1257.5,7.6303,30.137,7.6279,18,2065,622,736,34,233,76,87,5,819,261,299,14,0,0,0,0,108,37,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a1c,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,True,False,6.4,92.686,1312.2,6.8973,30.015,7.861,15,2159,642,729,37,224,78,77,5,806,259,283,14,0,0,0,0,105,36,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a1e,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6,91.814,1255.4,6.682,29.575,8.271,14,2140,621,729,35,236,77,79,5,821,261,282,14,0,0,0,0,109,37,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a28,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,8.29,67.5,1545.3,1.6756,51.555,1.3192,1,4413,945,980,126,0,0,0,0,366,73,83,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a30,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,4.3,96.122,1411.8,6.7606,20.493,5.146,10,2338,642,863,2,466,132,174,1,1165,320,447,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a42,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,9.89,73.053,1192.3,4.1328,15.158,3.2747,7,1887,498,475,10,537,145,138,3,856,230,220,5,0,0,0,0,0,0,0,0,587,160,151,3,0,0,0,0,0,0,0,0,0,0,0,0
1a4h,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,5.92,95.357,1788.3,4.9901,26.706,3.5635,5,4008,1019,1726,29,301,71,110,2,1228,307,513,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a4k,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,8,91.478,1532.9,2.5894,41.929,0.36597,7,2934,859,919,11,410,121,133,2,784,236,238,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a4r,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6.66,118.7,1291,5.8838,0,5.7871,6,1284,326,392,20,790,201,242,14,1297,322,375,22,0,0,0,0,280,70,77,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
