pdbid,2016_general,2016_refined,2016_core,2015_general,2015_refined,2015_core,2014_general,2014_refined,2014_core,2013_general,2013_refined,2013_core,2012_general,2012_refined,2012_core,2007_general,2007_refined,2007_core,act,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
10gs,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,6.4,130.54,1525.9,6.0188,35.406,6.5628,39.92,350.95,0.90484,20.37,0,12,2877,717,1030,37,408,105,160,7,747,180,288,12,0,0,0,0,0,0,0,0,146,39,56,3,0,0,0,0,0,0,0,0,0,0,0,0
11gs,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,True,False,5.82,150.66,1752.2,11.046,36.528,7.4662,49.881,475.97,4.7334,9.7248,0,15,3137,803,1088,41,413,110,154,8,1191,286,425,14,0,0,0,0,0,0,0,0,165,39,59,3,286,71,85,2,0,0,0,0,0,0,0,0
184l,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,4.72,45.893,721.11,0.55265,73.155,0,5.0626,11.022,0.55446,16.275,0,2,1939,455,483,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185l,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,3.54,46.667,687.36,0.97171,51.442,0,2.9104,1.7861,0,2,0,0,1471,338,349,16,180,40,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186l,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,4.85,47.782,764.4,1.2644,74.019,0,8.3291,11.135,0.25315,17.272,0,3,1964,460,514,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187l,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,3.37,28.064,622.46,0.86467,55.775,0,1.7153,2.3437,0,4,0,0,1534,353,367,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188l,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,3.33,31.122,607.48,0.37027,53.365,0,1.4062,0.85081,0,3.9398,0,0,1472,335,340,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a08,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,True,True,5.62,95.795,1345.2,5.0905,32.679,5.4494,61.428,472.44,1.4508,19.045,0,18,2124,635,744,37,226,73,77,5,691,223,255,13,224,70,79,2,107,37,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a0q,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,True,False,7.57,93.969,1169.1,3.7839,62.445,3.7387,24.182,170.8,0.58751,4.8875,0,9,2416,600,515,9,146,41,31,0,825,217,179,0,0,0,0,0,172,46,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a1b,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,True,True,6.4,94.499,1257.5,7.6303,30.137,7.6279,58.141,468.25,1.5431,10.256,0,18,2051,619,725,34,231,76,86,5,798,256,289,14,0,0,0,0,105,36,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a1c,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,True,False,6.4,92.686,1312.2,6.8973,30.015,7.861,54.643,411.24,2.0853,11.263,0,15,2143,639,715,37,223,78,76,5,798,257,277,14,0,0,0,0,105,36,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a1e,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,6,91.814,1255.4,6.682,29.575,8.271,63.393,409.1,1.3771,16.892,0,14,2086,619,706,35,232,77,77,5,802,258,275,14,0,0,0,0,106,36,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a28,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,8.29,67.5,1545.3,1.6756,51.555,1.3192,19.101,135.59,0.32044,44.259,0,1,4174,918,941,126,0,0,0,0,350,70,78,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a30,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,4.3,96.122,1411.8,6.7606,20.493,5.146,40.369,253.73,0.57985,5.6988,0.72902,10,2338,642,863,2,466,132,174,1,1165,320,447,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a42,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,9.89,73.053,1192.3,4.1328,15.158,3.2747,12.359,171.71,0,0.71505,0,7,1804,489,463,10,505,141,134,3,831,227,213,5,0,0,0,0,0,0,0,0,569,158,147,3,0,0,0,0,0,0,0,0,0,0,0,0
1a4h,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,5.92,95.357,1788.3,4.9901,26.706,3.5635,66.421,679.19,1.3346,46.424,0,5,3920,1008,1715,29,290,69,108,2,1190,299,509,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a4k,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,False,8,91.478,1532.9,2.5894,41.929,0.36597,28.209,248.71,2.6329,9.3338,1.506,7,2934,859,919,11,410,121,133,2,784,236,238,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
