code,rdkit_smiles
000,COC(=O)O
001,COc1cc(cc(OC)c1OC)C(F)(F)C(=O)N1CCCCC1C(=O)OC(CCCc1ccccc1)CCCc1cccnc1
002,CCC(C)C(NC(=O)C(CC(=O)NO)Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)O
003,CC(C)CN1C(=O)N(C)C(=O)c2c1nn(Cc1cccc3ccccc13)c2c1ccncc1
004,NC(C(=O)O)c1ccccc1
005,NC(Cc1ccccc1)C(O)C(=O)O
006,Cc1cccc(C)c1OCC(=O)NC(Cc1ccccc1)C(O)C(=O)N1CSC(C)(C)C1C(=O)NC1c2ccccc2CC1O
007,NCC1(CCCC1)c1ccccc1
008,NC(=O)C1Cc2ccccc2CN1C(=O)CC(N)Cc1ccccc1F
009,CN(C)c1cccc(c1)CNCC(O)C(Cc1ccccc1)NC(=O)C1(Cc2ccccc2)CN(Cc2ccccc2)C(=O)N1
00A,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OC(=O)c2ccc(Cl)cc2)C(O)C1O
00B,CC1(C)SCNC1C(=O)O
00C,NC(CS(=O)(=O)O)C(=O)O
00D,CC(N)C(C)(C)C
00E,O=C(O)CN1CCOCC1
00F,CC(CP(=O)(O)C(N)Cc1ccccc1)C(=O)O
00G,c1ccn(c1)CCOc1ccc2[nH]ccc2c1
00H,NC(Cc1ccccc1)P(=O)(O)CCC(=O)O
00I,N=C(N)c1ccc(cc1)CC(NC(=O)C(CCC(=O)O)NS(=O)(=O)c1ccc2ccccc2c1)C(=O)N1CCCCC1
00J,CNC(=O)c1c(C)oc2cc(ccc12)Oc1ccnc2cc(ccc12)OCCN1CCOCC1
00K,NCCCCC(NC(=O)C1CCN2CCC(N)(Cc3ccccc3)C(=O)N12)C(O)C(=O)NC1CCCCC1
00L,N=C(N)NCCCC(NC(=O)C1CCN2CCC(N)(Cc3ccccc3)C(=O)N12)C(O)C(=O)NCCc1ccccc1
00M,NC(Cc1ccccc1)C(O)C(=O)O
00N,N=C(N)NCCCC(NC(=O)C1CCN2CCC(N)(Cc3ccccc3)C(=O)N12)C(O)c1nccs1
00O,NC(C(=O)O)C(c1ccccc1)c1ccccc1
00P,NC1CCC(CC1)CNC(=O)C1C=CCN2C(=O)N(CCS(=O)(=O)c3ccccc3)C(=O)N12
00Q,N=C(N)NCCCC(NC(=O)C1CCCN1C(=O)C(N)Cc1ccccc1)C(O)c1nc2ccccc2s1
00R,Nc1ncc([nH]1)C1CCC(CC1)NC(=O)C1C=CCN2C(=O)N(CCS(=O)(=O)c3ccccc3)C(=O)N12
00S,N=C(N)c1ccc(cc1)CN
00T,NCc1ccc(Cl)cc1CN
